"Round Type (Cost Modifier)","Effect","Type"
"Armor Piercing (x3)","If the weapon's damage is dealt to a creature's hit points, it ignores up to 8 points of DT and the creature's armor gains a level of decay",".308, .50, 5.56mm, 5mm"
"Bean Bag (-50%)","The weapon's damage is instead 1d4+1 and you do not add your agility modifier, if this damage dealt to a target creature's hit points, they take one level of fatigue. Additionally, if a bean bag shot brings a creature to 0 hit points, they automatically heal 1 point unless the attack was a targeted attack to the head or eyes","12 gauge"
"Buck (-25%)","The weapon's range modifiers are both increased by 4 and it loses its spread property","12 gauge, 20 gauge"
"Buck Magnum (x3)","The weapon's damage is increased by 3, ignores 3 points of DT, and its range modifiers are each increased by 4. However, the weapon loses its Spread property and after every second attack; the weapon gains a level of decay","12 gauge, 20 gauge"
"Cap shot (x4)","The weapon gains the Destructive and Mangle properties. The weapon's damage ignores 2 points of DT","12 gauge"
"Dragon's Breath (x2)","The weapon deals half as much damage but gains Incendiary","12 gauge"
"Explosive (x6)","Each creature and object within 5 feet of the target takes 3d6 explosive damage. The target falls prone unless their Strength ability score is greater than 10",".308 .50"
"Flechette (x2)","The weapon's damage total is reduced by 1 but ignores up to 6 points of DT","12 gauge"
"FMJ, piercing (x3)","The weapon's damage is increased by 2. If this damage brings a creature to 0 HP, the attack also targets the next creature behind them in a line",".308 .357 5mm 9mm 10mm 12.7mm"
"Hollow Point (x4)","If the weapon deals damage to a target creature's hit points, it deals extra damage equal to its critical hit damage. If the damage is subtracted by the target's DT, the damage gains no critical hit bonus and is halved",".308 .357 .44 .45 .45-70 5mm 5.56mm 9mm 10mm 12.7mm"
"JFP (x3)","The weapon gains Destructive",".357"
"JSP (x2)","The weapon gains Breakable and its damage is increased by 3",".308 5mm"
"Incendiary (x4)","The weapon gains Incendiary",".50 Missile"
"Match (x2)","The weapon's damage is increased by 5, the short range modifier is reduced by 2",".50 5.56mm"
"Magnum (x3)","The weapon's damage is increased by 3, ignores 3 points of DT, and its range modifiers are each increased by 2. However, after every second attack; the weapon gains a level of decay","12 gauge, 20 gauge"
"Rubber (-50%)","The weapon's damage is instead 1d4+2 and you do not add your agility modifier, if this damage dealt to a target creature's hit points, they take one level of fatigue. Additionally, if a rubber bullet brings a creature to 0 hit points, they automatically heal 1 point unless the attack was a targeted attack to the head or eyes","9mm, 10mm, 5mm"
"Slug (x4)","The weapon's range modifiers are each tripled and it gains the Accurate and Destructive properties. However, it loses its Spread and Powerful properties","12 gauge, 20 gauge"
"Pulse Slug (x6)","The weapon gains the same effects as the Slug ammunition type. Additionally, when dealing damage to a Robot or a creature in Power Armor; the damage is doubled","12 gauge, 20 gauge"