"Upgrade Name","Base Cost","Rank 1 Effect","Rank 2 Effect","Rank 3 Effect"
"Explosive Shielding","1350c","Reduce explosive damage taken by 5","Reduce explosive damage taken by 10","Reduce explosive damage taken by 15"
"Prism shielding","1800c","Reduce laser and plasma damage taken by 5","Reduce laser and plasma damage taken by 5","Reduce laser and plasma damage taken by 10"
"Emergency protocols","1800c","If you start your turn with less than half your hit points, you can spend 1 AP to move 10 feet","If you start your turn with less than half your hit points, your DT increases by 5 (only for damage against HP)","-"
"Kinetic dynamo","2400c","You gain an additional AP at the start of your turn for each level of decay the power armor gained since your last turn","-","-"
"Tesla Coils","2400c","Spend 3 AP to activate or deactivate, each creature within 10 feet of you takes 1d6 electricity damage when you activate and at the start of their turns. For each round active, remove 10 minutes from allotted time","Electricity damage increases by 1d6. For each round active, remove an additional 5 minutes from allotted time","Electricity damage increases by 2d6. For each round active, remove an additional 10 minutes from allotted time"
"Reactive Plates","2700c","When you take damage from a melee attack, the attacker takes a quarter (rounded down) of the damage they dealt","The attacker takes another quarter (rounded down) of the damage they dealt. (effectively half of the total)","When you take damage from a melee attack, the attacker is knocked by 15 feet"
"Core Assembly","2250c","Spending more than 18 AP on your turn causes overheating instead of 15","Spending more than 20 AP on your turn causes overheating instead of 15","Overheating requires 15 minutes of allotted time loss instead of 30"
"Jet Pack","6000c","You can spend 1 AP on your turn to fly 5 feet upwards. For every 5 feet you fly you","-","-"
"Sensor Array","4500c","Passive sense increases by 5","Passive sense increases by 5","Passive sense increases by 10"
"VATS matrix overlay","2700c","Whenever you make a targeted attack roll, reduce the additional AP cost by 1","Whenever you make a targeted attack roll, reduce the additional AP cost by 1","-"
"Internal database","2400c","If you can see a creature, you can spend 6 AP on your turn to learn its HP total, SP total, AC, or DT","-","-"
"Targeting HUD","1800c","If you can see a creature, you can spend 3 AP to mark it. You can only have one marked creature at a time. Whenever you deal damage to a marked creature, you deal an additional die of damage","You can mark up to two more creatures","Whenever you deal damage to a marked creature, you deal an additional die of damage"
"Headlamp","250c","You can spend 1 AP on your turn to turn on your headlamp. The headlamp shines bright light in a 40 foot cone and dim light for an additional 40","The bright and dim light both shine an additional 10 feet","The bright and dim light both shine an additional 10 feet. If you turn on this light while in darkness, each creature within 5 feet of you becomes blinded for one round"
"Rusty knuckles","100c","If you hit a creature with an unarmed attack, they bleed","-","-"
"Optimized bracers","1700c","You can spend 6 AP on your turn to make a powerful unarmed attack that deals 2d6 bludgeoning damage","The damage increases by 1d6","The damage increases by 1d6 and pushes targets 15 feet back"
"Calibrated Shocks","1000c","Carry Load increases by 15","Carry Load increases by 15","Carry Load increases by 20"
"Overclock Hydraulics","1950c","While overheated, your maximum AP increases by 2, you have advantage on all attack rolls, you can move 15 feet with 1 AP, and your unarmed attacks deal an additional 3d6 fire damage","You can spend 3 AP to overheat the fusion core","Your maximum AP increases by 2"
"Explosive vent","1250c","If you fall at least 15 feet, when you hit the ground you can choose to activate this upgrade. Each creature within 20 feet of you takes 3d6 fire damage and 3d6 explosive damage. Remove 20 minutes from the armor's allotted time each time you activate this upgrade","The fire and explosive damage each increase by 1d6","The radius increases by 10 feet"
"Super Mutant Fitting","50% base cost","The armor is modified and fitted to allow a super mutant to use it. However, humans and ghouls can no longer use the armor. Once this upgrade has been added, it requires the same price or crafting materials to remove it",,